Time,Joint,ProximitySensor
1702214304917,0.0,1.0
1702214304917,-1.44,1.0
1702214304917,-1.57,1.0
1702214304963,0.0,1.0
1702214304963,-1.31,1.0
1702214304963,-1.57,1.0
1702214305008,0.0,1.0
1702214305008,-1.18,1.0
1702214305009,-1.57,1.0
1702214305054,0.0,1.0
1702214305054,-1.06,1.0
1702214305054,-1.57,1.0
1702214305100,0.0,1.0
1702214305100,-0.93,1.0
1702214305100,-1.57,1.0
1702214305147,0.0,1.0
1702214305147,-0.81,1.0
1702214305147,-1.57,1.0
1702214305195,0.0,1.0
1702214305195,-0.56,1.0
1702214305195,-1.57,1.0
1702214305241,0.0,1.0
1702214305241,-0.43,1.0
1702214305241,-1.57,1.0
1702214305287,0.0,1.0
1702214305287,-0.3,1.0
1702214305287,-1.57,1.0
1702214305333,0.0,1.0
1702214305333,-0.3,1.0
1702214305333,-1.57,1.0
1702214305381,0.0,1.0
1702214305381,-0.05,1.0
1702214305381,-1.57,1.0
1702214305428,0.0,1.0
1702214305428,0.08,1.0
1702214305428,-1.57,1.0
1702214305475,0.0,1.0
1702214305475,0.21,1.0
1702214305475,-1.57,1.0
1702214305523,0.0,1.0
1702214305523,0.33,1.0
1702214305523,-1.57,1.0
1702214305570,0.0,1.0
1702214305570,0.33,1.0
1702214305570,-1.57,1.0
1702214305617,0.0,1.0
1702214305617,0.46,1.0
1702214305618,-1.57,1.0
1702214305664,0.0,1.0
1702214305664,0.71,1.0
1702214305664,-1.57,1.0
1702214305711,0.0,1.0
1702214305711,0.71,1.0
1702214305711,-1.57,1.0
1702214305757,0.0,1.0
1702214305757,0.83,1.0
1702214305757,-1.44,1.0
1702214305804,0.0,1.0
1702214305804,1.09,1.0
1702214305804,-1.17,1.0
1702214305852,0.0,1.0
1702214305852,1.09,1.0
1702214305852,-1.17,1.0
1702214305899,0.0,1.0
1702214305899,1.35,1.0
1702214305899,-0.91,1.0
1702214305944,0.0,1.0
1702214305944,1.35,1.0
1702214305944,-0.91,1.0
1702214305991,0.0,1.0
1702214305991,1.48,1.0
1702214305991,-0.78,1.0
1702214306037,0.0,1.0
1702214306037,1.57,1.0
1702214306037,-0.53,1.0
1702214306084,0.0,1.0
1702214306084,1.57,1.0
1702214306084,-0.53,1.0
1702214306132,0.0,1.0
1702214306132,1.57,1.0
1702214306132,-0.28,1.0
1702214306179,0.0,1.0
1702214306179,1.58,1.0
1702214306179,-0.15,1.0
1702214306226,0.0,1.0
1702214306226,1.58,1.0
1702214306226,-0.15,1.0
1702214306274,0.0,1.0
1702214306274,1.58,1.0
1702214306274,-0.02,1.0
1702214306321,0.0,1.0
1702214306321,1.57,1.0
1702214306322,0.11,1.0
1702214306367,0.0,1.0
1702214306367,1.57,1.0
1702214306367,0.24,1.0
1702214306414,0.0,1.0
1702214306414,1.57,1.0
1702214306414,0.36,1.0
1702214306461,0.0,1.0
